Zeit;Kanal A
(ms);(V)

0,00000000;2,00616500
0,00005000;2,00036600
0,00010000;2,00616500
0,00015000;2,00036600
0,00020000;2,00616500
0,00025000;1,99456700
0,00030000;1,99456700
0,00035000;1,99456700
0,00040000;2,00036600
0,00045000;2,00616500
0,00050000;2,00616500
0,00055000;2,00616500
0,00060000;2,00036600
0,00065000;2,00616500
0,00070000;2,01165900
0,00075000;2,00616500
0,00080000;2,00036600
0,00085000;2,00616500
0,00090000;2,01165900
0,00095000;2,00616500
0,00100000;2,01165900
0,00105000;2,01165900
0,00110000;1,99456700
0,00115000;2,00036600
0,00120000;2,00036600
0,00125000;2,00036600
0,00130000;2,00616500
0,00135000;2,00616500
0,00140000;2,00616500
0,00145000;2,00616500
0,00150000;2,00036600
0,00155000;2,00616500
0,00160000;1,99456700
0,00165000;2,01165900
0,00170000;2,00616500
0,00175000;2,00036600
0,00180000;2,00616500
0,00185000;2,00036600
0,00190000;2,00616500
0,00195000;2,00036600
0,00200000;2,00616500
0,00205000;2,00616500
0,00210000;1,99456700
0,00215000;2,00616500
0,00220000;2,00616500
0,00225000;2,01165900
0,00230000;2,00616500
0,00235000;1,99456700
0,00240000;2,00616500
0,00245000;2,00616500
0,00250000;2,00616500
0,00255000;2,00036600
0,00260000;1,99456700
0,00265000;2,00616500
0,00270000;2,00036600
0,00275000;2,00036600
0,00280000;2,00616500
0,00285000;2,00036600
0,00290000;2,00036600
0,00295000;2,00616500
0,00300000;2,00616500
0,00305000;2,01165900
0,00310000;2,00616500
0,00315000;2,00616500
0,00320000;1,99456700
0,00325000;2,01165900
0,00330000;2,00616500
0,00335000;1,99456700
0,00340000;2,00036600
0,00345000;2,00616500
0,00350000;2,00616500
0,00355000;2,00036600
0,00360000;2,00036600
0,00365000;2,00616500
0,00370000;2,00036600
0,00375000;2,00616500
0,00380000;2,00036600
0,00385000;1,99456700
0,00390000;1,99456700
0,00395000;2,00616500
0,00400000;2,00036600
0,00405000;2,00616500
0,00410000;1,99456700
0,00415000;2,00616500
0,00420000;2,00616500
0,00425000;2,00616500
0,00430000;2,01165900
0,00435000;2,00036600
0,00440000;2,00616500
0,00445000;2,00036600
0,00450000;2,00036600
0,00455000;2,00616500
0,00460000;2,00036600
0,00465000;2,00036600
0,00470000;2,00036600
0,00475000;2,00616500
0,00480000;1,99456700
0,00485000;2,00036600
0,00490000;2,00616500
0,00495000;2,00036600
0,00500000;2,00616500
0,00505000;2,00036600
0,00510000;2,00036600
0,00515000;1,99456700
0,00520000;2,00036600
0,00525000;2,00036600
0,00530000;1,99456700
0,00535000;2,00616500
0,00540000;2,00036600
0,00545000;2,00616500
0,00550000;2,00036600
0,00555000;2,00036600
0,00560000;2,00616500
0,00565000;2,00036600
0,00570000;2,00036600
0,00575000;2,01165900
0,00580000;2,00036600
0,00585000;1,99456700
0,00590000;2,00616500
0,00595000;1,99456700
0,00600000;2,00036600
0,00605000;2,00036600
0,00610000;2,00616500
0,00615000;2,00036600
0,00620000;2,00036600
0,00625000;2,00036600
0,00630000;2,00036600
0,00635000;1,98876800
